"IndivYr","AnimalID","SprAvgNSD14","FallAvgNSD14"
"140040-14",140040,49.3589567020807,160.238427972063
"140050-14",140050,11.5321457390937,59.2463508856634
"140060-14",140060,68.7119776721862,30.1915912508592
"140070-14",140070,7.07308204250368,12.4968647072666
"140100-14",140100,20.0662140382843,81.9558794318443
"140120-14",140120,35.4125310988922,169.214020115175
"140290-14",140290,42.5668193259683,33.2849222375176
"140300-14",140300,108.142059153508,74.4411321676824
"140320-14",140320,51.1195796622122,241.641871269451
"140340-14",140340,95.0936045929817,91.7421070231111
"140360-14",140360,32.9410305438882,NA
"140380-14",140380,6.66814015616513,12.6056362002298
"140400-14",140400,78.6405239438359,22.6371955517505
"140480-14",140480,56.0800353568872,43.3003248125171
"140560-14",140560,140.439687510065,146.215932026625
"140600-14",140600,109.471196931719,49.6605946043503
"140630-14",140630,28.8146426395829,43.6228189137803
"140650-14",140650,5.63201932666804,12.8515054971556
"140680-14",140680,76.9778666710753,17.5090427190451
"140710-14",140710,111.499970353789,68.2382776757653
"140800-14",140800,178.990527013429,112.189181830938
"140850-14",140850,111.204704538716,75.2071404242527
"140890-14",140890,208.495384982202,111.271347352118
"140900-14",140900,158.007675277263,NA
"140910-14",140910,56.3204764222913,49.9185169849173
"140920-14",140920,13.7808112424573,NA
"140930-14",140930,NA,NA
"140940-14",140940,39.8115016989449,115.345885207827
"140960-14",140960,79.2245474481283,66.7007139628115
"140980-14",140980,57.3166713177769,93.2129964930987
"141000-14",141000,150.815434648797,128.91706994386
"141010-14",141010,58.4411755753794,190.580954771603
"141060-14",141060,69.2108830317799,75.2009370472592
"141070-14",141070,30.1663876465564,35.524506336733
"141080-14",141080,83.0733069848973,25.4250484656942
"141090-14",141090,5.59837641197293,NA
"141100-14",141100,58.7395409909539,29.6392011561389
"141110-14",141110,180.952738308814,NA
"141120-14",141120,128.648903285226,91.1227568619133
"141130-14",141130,133.21564952473,122.912391591045
"141150-14",141150,77.9479265689175,281.076822111585
"141160-14",141160,87.8464440108805,74.5594864936249
"141170-14",141170,131.34925941688,NA
"141180-14",141180,396.209842708088,317.600910432482
"141200-14",141200,160.824145386623,NA
"141210-14",141210,11.7767003156174,NA
"141220-14",141220,59.4260197169065,NA
"141260-14",141260,123.671769108436,82.1127408190605
"141290-14",141290,41.3306432831968,NA
"141300-14",141300,160.741465493379,NA
"141340-14",141340,120.118323481278,70.6516877849656
"141380-14",141380,147.510179071315,NA
"141400-14",141400,263.438866286343,NA
"141420-14",141420,NA,NA
"141470-14",141470,124.984341646966,106.085567058673
"141490-14",141490,166.158532995927,29.7594067238154
"141500-14",141500,146.667044929763,NA
"141520-14",141520,75.9865325374853,37.2739422005292
"141560-14",141560,147.12229992396,20.438771789897
"141570-14",141570,257.086197761443,NA
"141580-14",141580,166.966377552,NA
"141610-14",141610,73.422343078608,74.9100761226113
"141630-14",141630,9.64848711955739,NA
"150360-14",150360,NA,NA
"150920-14",150920,NA,NA
"151110-14",151110,NA,NA
"151170-14",151170,NA,NA
"151200-14",151200,NA,NA
"151220-14",151220,NA,NA
"151300-14",151300,NA,NA
"151380-14",151380,NA,NA
"151500-14",151500,NA,NA
"151570-14",151570,NA,NA
"151580-14",151580,NA,NA
