"AnimalID","Date","Julian_date","J_day_new_spr","X_UTM","Y_UTM","NSD"
140040,2014-07-01,182,126,280100.332151767,5148459.20015419,164.127998868431
140040,2014-07-02,183,127,280774.650969371,5145630.10595626,231.794172632719
140040,2014-07-03,184,128,280884.742944979,5146122.31611378,223.62615620413
140040,2014-07-04,185,129,280707.820405122,5145270.9495878,238.359578555063
140040,2014-07-05,186,130,282008.289787374,5146137.48096529,248.642613054644
140040,2014-07-06,187,131,282093.507952576,5146154.44572974,250.313799289342
140040,2014-07-07,188,132,281968.602715503,5146103.30631077,248.41810965077
140040,2014-07-08,189,133,284985.12024021,5146143.64580716,327.839168009905
140040,2014-07-09,190,134,283836.277884574,5145632.66437348,306.02859724297
140040,2014-07-10,191,135,283970.911045566,5144661.12358754,331.896697406399
140040,2014-07-11,192,136,284101.833995438,5146609.98576894,292.957709069758
140040,2014-07-12,193,137,286562.362157824,5146159.167274,376.728519281442
140040,2014-07-13,194,138,284573.208002546,5145157.02474607,337.327861281226
140040,2014-07-14,195,139,283036.523015492,5143487.38687232,336.287600528404
140040,2014-07-15,196,140,282558.609356541,5144967.41236801,287.724210730222
140040,2014-07-16,197,141,282528.155172718,5144976.2906826,286.765034787564
140040,2014-07-17,198,142,281257.266547759,5146000.96355986,234.29299981913
140040,2014-07-18,199,143,278990.700377843,5148182.45971023,147.886455852755
140040,2014-07-19,200,144,277609.317148533,5149723.80064541,101.992819220757
140040,2014-07-20,201,145,274313.949217211,5150004.69302191,60.0813566941096
140040,2014-07-21,202,146,277972.197016145,5151024.44464151,91.4378696978811
140040,2014-07-22,203,147,278312.288125798,5151706.23561508,89.7790743007054
140040,2014-07-23,204,148,279327.138929974,5151085.09364226,113.741312201464
140040,2014-07-24,205,149,278525.651943389,5149975.06999077,113.090005142644
140040,2014-07-25,206,150,278342.91080736,5151073.17664912,96.8210015811288
140040,2014-07-26,207,151,279519.222160646,5149816.46900926,132.788112711755
140040,2014-07-27,208,152,278650.984613348,5148144.78334639,142.643289474122
140040,2014-07-28,209,153,282156.065468235,5146825.26754419,238.3025360232
140040,2014-07-29,210,154,281525.746062549,5146620.97717188,227.611448447934
140040,2014-07-30,211,155,281184.310012359,5146323.99922653,225.965332246841
140040,2014-07-31,212,156,280440.523212799,5146175.08407667,213.208270375744
140040,2014-08-01,213,157,280104.525210524,5146666.7513689,196.454181039459
140040,2014-08-02,214,158,279399.443043161,5148215.41855599,154.710941056776
140040,2014-08-03,215,159,279652.68934282,5148624.52927724,152.790266084213
140040,2014-08-04,216,160,280120.896654169,5150720.25058619,133.029681467454
140040,2014-08-05,217,161,279415.820568592,5151198.68283116,114.142577058673
140040,2014-08-06,218,162,279263.202154921,5151228.71696092,111.02364468273
140040,2014-08-07,219,163,279396.558706315,5151302.85160251,112.681376701939
140040,2014-08-08,220,164,278372.60706213,5151254.55140602,95.3507331545626
140040,2014-08-09,221,165,276195.618787579,5148914.68226638,94.6783878341956
140040,2014-08-10,222,166,279131.169644391,5147816.87644313,156.640314218048
140040,2014-08-11,223,167,280285.76918393,5148696.12457133,164.063152297136
140040,2014-08-12,224,168,279350.29615301,5150665.93013617,118.92882365803
140040,2014-08-13,225,169,280411.888938044,5147932.80770563,179.213345072547
140040,2014-08-14,226,170,280527.07867454,5147716.14499895,185.369505468483
140040,2014-08-15,227,171,280696.839135185,5147732.25581271,188.629150366061
140040,2014-08-16,228,172,281268.611830125,5148020.89251678,195.979573524431
140040,2014-08-17,229,173,278927.160278916,5148548.58043161,140.771740991215
140040,2014-08-18,230,174,279192.896858003,5148666.84231723,143.614760232804
140040,2014-08-19,231,175,281166.934451638,5149038.07087575,177.402579114231
140040,2014-08-20,232,176,281061.768967145,5149106.39394519,174.078493773322
140040,2014-08-21,233,177,280927.030311472,5148781.95201443,176.102251701685
140040,2014-08-22,234,178,281649.047337298,5148762.58543313,192.454316441095
140040,2014-08-23,235,179,279331.976270887,5147840.71924295,159.862155366978
140040,2014-08-24,236,180,275731.690895658,5148636.98522064,93.6271230173703
140040,2014-08-25,237,181,278657.893079689,5148123.39265175,143.120824271365
140040,2014-08-26,238,182,281649.892985901,5147505.4090198,213.652307653532
140040,2014-08-27,239,183,282337.068969575,5147796.66629811,224.709952700954
140040,2014-08-28,240,184,281490.966002553,5148216.46916831,197.662633994426
140040,2014-08-29,241,185,279024.746419565,5147850.79138213,154.15322344514
140040,2014-08-30,242,186,277981.512342698,5147711.9888571,139.208789275049
140040,2014-08-31,243,187,278980.855390755,5150862.96451738,110.001662709701
140050,2014-07-01,182,126,273024.53048936,5153957.08327388,81.3771484379129
140050,2014-07-02,183,127,273384.526021264,5158845.89253962,17.0410530831132
140050,2014-07-03,184,128,273612.882899157,5158793.94230392,17.2110123312305
140050,2014-07-04,185,129,273551.429436432,5158792.90631672,17.2781644180984
140050,2014-07-05,186,130,275358.844904054,5155370.92919121,58.6555325976148
140050,2014-07-06,187,131,276059.918141531,5156050.33422424,51.1755069854901
140050,2014-07-07,188,132,275336.912393994,5155607.617231,55.0821749161925
140050,2014-07-08,189,133,275036.446318613,5156408.73930021,43.3324755922519
140050,2014-07-09,190,134,274374.945460245,5158026.66109772,24.0299607257481
140050,2014-07-10,191,135,275383.771418324,5158522.04212005,21.083947690327
140050,2014-07-11,192,136,273662.118157911,5159083.61090917,14.8639048039593
140050,2014-07-12,193,137,274276.072919963,5158257.32869439,21.7736842628219
140050,2014-07-13,194,138,274449.131733256,5158162.9718545,22.7673038439895
140050,2014-07-14,195,139,274535.248102888,5158001.76637293,24.4011395735203
